target_number,archetype_id,archetype_label,company_name,website_url,location_city,location_country,estimated_scale,decision_maker_name,decision_maker_title,contact_route,commercial_validation_signal,observable_friction,kachmo_solution_angle,personalized_outreach_hook
047,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Lua Global Inc,https://heylua.ai,London,United Kingdom,"YC-backed Fall 2025, team of 5, mid-market AI agent platform",Lorcan O Cathain,Founder/CEO,support email (site footer),"YC Fall 2025; 'AI workforce' platform running governed agents where teams already work (Salesforce, Slack); Delaware-registered, London-based","Homepage carries a long, duplicated sequence of AI-provider logos and code-snippet blocks with waitlist-gated CTAs; communicates breadth but the repetitive provider wall and mixed technical prose read cluttered above the fold.",First-screen compression and logo-wall discipline giving a London AI-platform company an executive-ready landing page,Lua runs an AI workforce across Salesforce and Slack; the page stacks provider logos and TypeScript samples. We streamline the first screen for both technical and executive readers.
048,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Rovr,https://www.withrovr.com,San Francisco,United States,"YC-backed Fall 2025, team of 3, AI orchestration for implementation teams",Arnav Jain,Co-Founder,founder demo (cal.com/bellman-ai/20min),YC Fall 2025; AI orchestration layer for FDE and professional-services teams capturing requirements and generating SOWs/artefacts automatically,Next.js landing page built from Slack-style chat mockups and a personal cal.com demo link; value conveyed through feature lists and pseudo-terminal chat bubbles rather than a crafted product narrative; generic devtool visual template.,Crafted narrative pass replacing chat-mockup demos with a focused implementation-outcome story and professional polish,Rovr ships implementations 10x faster via Slack commands; the page demonstrates it with chat mockups but reads like a template. We make the craft match the speed claim.
049,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Semble,https://www.sembleai.com,San Francisco,United States,"YC-backed Fall 2025, team of 14, all-in-one software for low-voltage/security integrators",Jonathan Tyshler,Founder/CEO,info@sembleai.com,"YC Fall 2025; takeoffs/design, quoting, scheduling, field ops, inventory and invoicing for integrators, from Stanford/Tesla/SpaceX alumni","Plain vertical-SaaS feature grid (takeoffs, scheduling, field ops, inventory, invoicing) presented as mobile screenshots and bare-text FAQs; communicates business-software functionally with no visual craft — a template vertical-software page.",Visual-craft pass giving a strong vertical-SaaS product a first screen with presence and clear information hierarchy,Semble runs integrators end to end on one platform; the site presents it as a bare feature grid. We give a strong product a first screen worth the software.
050,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Sourcebot,https://www.sourcebot.dev,San Francisco,United States,"YC-backed Fall 2025, team of 3, self-hosted code search and agent context layer",Michael Sukkarieh,Founder/CEO,enterprise intro (calendly.com/michael-sourcebot/sourcebot-introduction),"YC Fall 2025; self-hosted code search and AI agent context layer positioned as 'less than half the price' of Sourcegraph, Red Hat among customers","Docs-oriented marketing page structured around a Sourcegraph-comparison CTA, pricing tiers and a testimonial grid; clean and credible but template-following (Basic/Pro/Enterprise table) with minimal brand identity or product visualisation.","Product-led rewrite opening with the developer outcome instead of the competitive pricing hook, with a coherent visual identity",Sourcebot brings code context to every repo at half the cost; the page proves value with a pricing table. We lead with the story instead.
051,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Specific,https://specific.dev,Stockholm,Sweden,"YC-backed Fall 2025, team of 2, cloud platform for coding agents",Fabian Lindfors,Founder/CEO,via contact page (specific.dev),"YC Fall 2025; lets coding agents write code and build the infrastructure to run it, defining/building/deploying via HCL-style config","Dashboard screenshot plus Cursor/Claude Code/Codex logo row and a long, repetitive user-quote carousel; communicates the developer proposition but follows the coding-agent-launch template with limited visual distinction.",Distinctive visual-system pass for a Stockholm-founded platform competing against US launch templates,Specific builds cloud infra from a prompt; the site follows the coding-agent launch template. We give Stockholm's newest platform a first screen with presence.
052,2: Startup Craft Upgrade,2: Startup Craft Upgrade,The Context Company,https://www.thecontextcompany.com,San Francisco,United States,"YC-backed Fall 2025, AI agent observability with cited case-study gains (45.6% lower cost per run, 25.1% more customer runs)",Studio Principals,Founders,founders@thecontextcompany.com,"YC Fall 2025; turns production agent conversations into actionable patterns with IDE debugging over MCP, SOC 2/HIPAA posture","Clean enterprise-devtool layout (Product/Enterprise/Pricing/Resources navigation, SOC 2/HIPAA badges, IDE-debug MCP workflow) but visually indistinguishable from the broader 'observability for AI agents' template set; credible, low distinctiveness.",Differentiation pass surfacing the unique pattern-detection approach visually so the page does not read like a generic observability vendor,The Context Company finds patterns across production traces; the page could belong to any AI-observability vendor. We sharpen what makes your approach different.
053,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Unsiloed AI,https://www.unsiloed.ai,San Francisco,United States,"YC-backed Fall 2025, team of 2, #1 ranked parser on olmOCR-Bench (88.0 score)",Aman Mishra,Founder/CEO,via contact page (unsiloed.ai),"YC Fall 2025; proprietary dual-stream vision models turning PDFs, images and spreadsheets into LLM-ready JSON/Markdown; founders Adnan Abbas (CTO) and Aman Mishra","Benchmark-and-architecture-heavy landing page ('dual-stream vision model', attention-guided heatmaps) aimed squarely at technical buyers; communicates #1 olmOCR-Bench accuracy but reads like a research brief rather than a crafted commercial page, with raw '[ NEW ]' tags left visible in-page.","Commercial-narrative pass keeping the technical proof but wrapping it in a crafted, decision-maker-friendly first screen",Unsiloed ranks #1 on olmOCR-Bench with proprietary vision models; the page argues like a preprint. We keep the technical proof and add a crafted first screen.
054,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Uplane,https://uplane.com,San Francisco,United States,"YC-backed Fall 2025, team of 22, AI full-funnel marketing software, works with AG1 and Kalshi",Julius Korfgren,Co-Founder/CEO,via contact page (uplane.com),"YC Fall 2025; AI autopilot producing hundreds of brand-compliant ads and landing pages per month, claiming 31% average ROAS uplift and managed/enterprise tiers","Media/gallery-heavy page listing large numbers of creative assets alongside managed-service framing ('let us run it'); the asset-grid presentation and service-bureau positioning blur whether Uplane is product or agency, weakening the product story.","Product-positioning restructure making the platform unmistakably the hero over the services layer, with tighter visual hierarchy",Uplane replaces marketing agencies with an AI autopilot; the page reads partly like an agency deck. We make the product the hero.
055,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Zavo,https://zavopay.com,London,United Kingdom,"YC-backed Fall 2025, team of 8, AI operating system for restaurants/hospitality, raised $500K",Ilkan Gezer,Co-Founder,via contact page (zavopay.com/contact),"YC Fall 2025; unifies POS, payments, reservations and AI voice agents into a single customised hospitality platform with Adyen-powered payments","Framer-built hospitality page (framerusercontent asset paths) using generic service imagery, broad 'AI for hospitality' claims and a sprawling feature list spanning POS, voice agents, embedded finance and on-site support — reads like an agency capabilities deck rather than a focused product landing page.",Focus-and-craft pass distilling a wide capability set into one clear product promise with a cohesive visual system,"Zavo unifies POS, payments and reservations into one hospitality OS; the page lists every capability without a spine. We focus it around one clear promise."
056,3: Interactive System,3: Interactive System,Tim Wendelboe,https://timwendelboe.no,Oslo,Norway,Owner-operated specialty roastery,Tim Wendelboe,Founder & Owner,via contact page (timwendelboe.no/pages/contact-us),World-renowned Oslo roastery; premium single-origin coffees priced around $20-22 per bag with tiered subscriptions and an espresso bar,"Shop presents award-winning coffees as a flat photo-grid catalogue; storytelling exists in side pages (farms, team, roastery-tour video) but the product experience itself carries no motion, scroll narrative or brew-journey interaction.","GSAP-driven scroll narrative tying origin farms -> roast profiles -> cupping notes into an immersive, purchase-ready story",Your sourcing and roast craft is world-class; the shop presents it as a flat product grid. We build scroll narratives that let coffee provenance tell its story.
057,3: Interactive System,3: Interactive System,Square Mile Coffee Roasters,https://squaremilecoffee.com,London,United Kingdom,"Co-founded 2008, roastery team",James Hoffmann,Co-Founder & Head Roaster,via contact page (squaremilecoffee.com/pages/contact),"Founded by 2008 World Barista Champion James Hoffmann and Anette Moldvaer; premium beans priced £15-28, wholesale programme for cafes",Product pages are conventional grid/list cards with 'Read More' links and a few embedded videos; the catalogue itself is a static layout with no product-provenance motion or cupping-note interactivity despite the depth of their expertise.,Interactive origin-story product pages with scroll-driven processing maps and tasting-note micro-interactions,James's writing and cupping insight are unmatched; the e-commerce site flattens them into standard product cards. We turn provenance into an interactive buying journey.
058,3: Interactive System,3: Interactive System,ONA Coffee,https://onacoffee.com.au,Gold Coast,Australia,Multi-roastery group with four flagship cafes,ONA Coffee Co-Founders,Co-Founders & Owners,via contact page (onacoffee.com.au/pages/contact),"Award-winning Australian roastery with four flagship cafes nationwide, a wholesale programme across cafes and restaurants, and blends such as the bestseller Raspberry Candy",Shopify product cards present each coffee as a static pack shot with price and size selectors; origin stories and cafe culture live in separate text blocks rather than in the product journey.,"Shoppable scroll narrative combining origin films, barista workflow animation and blend-matching interactivity",ONA's blends and flagship cafes are distinctive; the shop presents them as static pack shots. We make the product journey as considered as the cup.
059,3: Interactive System,3: Interactive System,Workshop Coffee,https://workshopcoffee.com,London,United Kingdom,Speciality roastery and Belgravia cafe,Workshop Coffee Founders,Founders & Roastery Team,via contact page (workshopcoffee.com/pages/belgravia),"London speciality roaster with a Belgravia cafe and wholesale partnerships including Claridge's, Raffles London, Mandarin Oriental, The Langham and The Ned; featured in Sprudge, Monocle, Harper's Bazaar and The Times","Premium beans (£14-23) are laid out as uniform cards ('Palate, Place, Producer, Price') with a palate quiz as the main interactive element; otherwise the catalog is a conventional grid with no roast-journey storytelling.","Roast-profile explorer with animated sourcing maps, producer film loops and guided tasting-note discovery",Your wholesale partners include Claridge's and Raffles; the retail site still reads like a commodity bean grid. We would give the retail experience a hospitality-grade feel.
060,3: Interactive System,3: Interactive System,Dark Woods Coffee,https://darkwoodscoffee.co.uk,Swansea,United Kingdom,"Founded 2014 by Damian Blackburn, Paul Meikle-Janney and Ian Agnew",Damian Blackburn,Co-Founder & Head Roaster,via site contact form (darkwoodscoffee.co.uk),"Award-winning Welsh speciality roastery; Core Range bags priced £12-13, subscription service, decorative brand illustrations and a brand film","Shopify core-range grid with static pack shots and hover images; the decorative bird illustrations and one brand video are the only motion, and provenance stories sit behind click-throughs rather than in the shopping flow.",Animated origin-journey collection pages with illustrated producer stories and subscription-first storytelling,Dark Woods' adventurous sourcing deserves more than static pack shots; we would bring your illustrations and origin stories into the product journey.
061,3: Interactive System,3: Interactive System,Holloway Li,https://hollowayli.com,London,United Kingdom,"RIBA-chartered practice founded 2018, London + Hong Kong offices",Alex Holloway,Creative Director & Co-Founder,studio@hollowayli.com,"Alex Holloway (Creative Director) and Na Li (Managing Director) lead the practice; hospitality clients include Virgin Atlantic Clubhouse Heathrow, The Hoxton, Locke, Puro Poznan, Wunderlocke Munich, Alto 19, Hylla Suites","Portfolio is served as a static image grid at /images/projects/ - every scheme (Virgin Atlantic Clubhouse, Locke Canary Wharf, Mother London, House in Chelsea) is a single room photo tile with no process narrative, material exploration or spatial walk-through.","Scroll-driven case studies with layered draw-to-build sequences, material close-ups and before/after spatial reveals",Your schemes like the Virgin Atlantic Clubhouse are deeply narrative spaces; online they are reduced to single room tiles. We build case studies that move through the space.
062,3: Interactive System,3: Interactive System,Studio Ashby,https://www.studioashby.com,London,United Kingdom,Founded 2014 by Sophie Ashby,Sophie Ashby,Founder & Creative Director,via contact page (studioashby.com/contact),"Sophie Ashby founded the practice in 2014; residential and hotel work includes St James's Park Apartment, Villa Robert Graves at La Residencia Belmond, Tamodi Estate & Polo Reserve, Guernsey and Hampstead family homes; 'Site by StudioSmall'",Projects sit in a Sanity CMS image grid (project cards such as St James's Park and Villa Robert Graves) navigated by static thumbnails; the visual identity is refined but the browsing experience is a passive gallery with no editorial narrative.,"Editorial project journeys with scroll-driven detail callouts, finish palettes and artisan-craftspotlight micro-interactions",Studio Ashby's rooms are richly layered; the site asks visitors to click through a passive gallery. We turn each project into an editorial journey.
063,3: Interactive System,3: Interactive System,Only If Architecture,https://only-if.com,Brooklyn,United States,"Founded 2013 by Adam Snow Frampton, AIA and Karolina Czeczek, RA",Adam Snow Frampton,Co-Founder & Principal,enquiries via site contact page,"Adam Snow Frampton and Karolina Czeczek lead the Brooklyn practice from 1270 Fulton St; built work spans Narrow House, Voyager Espresso, City of Saints Bryant Park, Love Labyrinth in Times Square and the Cities Without Ground publication","WordPress portfolio organised as static image tiles categorised by sector (Cultural, Houses & Housing, Interiors, Urbanism, Temporary); temporally rich work such as Love Labyrinth (Times Square glass cylinders) and Flatiron Portal is presented as still thumbnails only.",Process-led project pages with timeline/montage scrolls showing installations evolving through space and time,Your installations like Love Labyrinth are experienced through time in the city; online they are frozen as thumbnails. We build project pages that restore that dimension.
064,3: Interactive System,3: Interactive System,FreelandBuck,https://freelandbuck.com,Los Angeles,United States,"LA + NYC practice; principals David Freeland, Brandon Clifford, Brennan Buck",David Freeland,Principal & Co-Founder,enquiries via website contact form,"Principals include David Freeland (principal since 2010) and Brandon Clifford; institutional work includes Everson Museum Cafe, New Museum Tents, MOCA Listening Room, Yale Assembly Pavilion, Nike SF and Miami Design District Paradise Plaza","Homepage and project index are a gallery of image thumbnails labelled by sector (Residential, Interiors, Institutions, Installations, Public Art); craft-heavy work such as UnStack House and Droplet ADU is browsed as a flat grid with no construction or craft narrative.","Craft-forward project narratives with draw-to-detail scrolls exposing joinery, materiality and making-process sequences",The craft in projects like UnStack House is central to your office; the site indexes the work as a flat image grid. We surface the making as part of the story.
065,3: Interactive System,3: Interactive System,Bestor Architecture,https://bestorarchitecture.com,Los Angeles,United States,"Founded and led by Barbara Bestor, FAIA (AD100)",Barbara Bestor,Founder & Principal,via contact page (bestorarchitecture.com/contact),"Barbara Bestor FAIA leads the Los Angeles practice; AD100-listed work includes LACMA Scandinavian Design, Bend Residence, House Stepping Down A Hill, Ashes & Diamonds winery, Blackbirds and Beats By Dre HQ","Squarespace portfolio organised by sector (Residential, Commercial, Arts, Research) with a homepage slideshow carousel; notably the newsletter signup block on the page is broken ('This newsletter signup form needs a storage option'), signalling stale site maintenance alongside the otherwise refined archive.","Refined project storytelling with architectural-sequence scrolls, site-photography integration and a maintained content layer",The architecture is beautifully resolved and AD100-recognised; the site still runs on a basic Squarespace shell with a visibly broken newsletter block. We would match the digital layer to the built craft.
066,3: Interactive System,3: Interactive System,Chandos Collective,https://www.chandoscollective.com,Houston,United States,"Founded and led by Chandos Dodson Epley, 20+ years",Chandos Dodson Epley,Founder & Principal Designer,enquiries via website contact form,"Houston residential interior design practice led by Chandos Dodson Epley, delivering award-winning projects for over two decades with a stated focus on 'effortless elegance that blends modern restraint with a hint of the past'","WordPress portfolio opens with 'Scroll to discover' but resolves to image tiles and Vimeo embeds of finished rooms; rooms are shown as completed photographs without process, sourcing or client-journey narrative.","Room-reveal scroll experiences with sourced-object callouts, palette evolution and before/after spatial transitions",Your portfolio carries 20+ years of bespoke residential work; visitors land on finished-room tiles. We build reveal experiences that show how those rooms came together.
067,3: Interactive System,3: Interactive System,East Fork,https://eastfork.com,Asheville,United States,"Co-founded by Alex Matisse, Connie Matisse and John Vigeland",Alex Matisse,Co-Founder,via contact page (eastfork.com/pages/contact),"Asheville-based ceramics maker co-founded by Alex Matisse, Connie Matisse and John Vigeland; community-focused with 1% of sales donated to community partners and free shipping on orders over $150","Standard e-commerce grid with hero/carousel sliders and promotional banners ('New & Noteworthy', 'The Fall Collection'); product presentation is conventional with carousels and discount messaging rather than clay-to-table craft storytelling.","Slow-scroll clay journey with potter-profile reels, kiln-load reveals and maker-hand micro-interactions driving product pages",The makers and community mission are what set East Fork apart; the storefront presents dinnerware like any other catalogue. We put the hands behind the plates first.
068,3: Interactive System,3: Interactive System,PINCH London,https://pinchdesign.com,London,United Kingdom,Founded 2004 by Russell Pinch and Oona Bannon,Russell Pinch,Co-Founder & Designer,Calendly booking (calendly.com/enquiries-pinchdesign/30min); +44 (0) 207 622 5075,"Husband-and-wife founders Russell Pinch (design) and Oona Bannon (business) lead the London furniture and lighting studio from a showroom at 200 Ebury Street SW1W 8UN, with a New York apartment presence","Homepage is a grid-like collage of product tiles (Glover drinks cabinet, Soren crown pendant, Tove dining table) linking to product pages; an ethos film exists but the primary browse is a static catalogue of collections and 'Latest work'.","Immersive collection lookbooks with scroll-driven joinery details, material provenance and room-setting parallax",PINCH's pieces are quietly sculptural; the site presents them as a product grid with an embedded ethos film. We make the materials and making the journey.
069,3: Interactive System,3: Interactive System,Jono Pandolfi Designs,https://www.jonopandolfi.com,Union City,United States,"Owned by Jono Pandolfi; 500+ hospitality clients, 50 ceramic shapes",Jono Pandolfi,Founder & Designer,care@jonopandolfi.com,"Founded and owned by Jono Pandolfi; serves 500+ hospitality clients with 50 ceramic shapes, from custom work for Daniel Humm at the Nomad Hotel NYC to Amanda Cohen at Dirt Candy, Four Horsemen, Jean-Georges and Girl & the Goat","Product collections (Coupe, Square Sided) are shown through static imagery and image carousels with chef testimonial blocks and a 'Restaurant Guide'; presentation is image-led with some narrative client sections but no motion or table-setting narrative.",Animated table-setting storytelling with chef-voiceover micro-scenes and plate-form evolution scrolls,Your work defines tables at the Nomad and Jean-Georges; the site shows plates as still images with quotes. We let chefs and settings tell the story in motion.
070,3: Interactive System,3: Interactive System,Heath Ceramics,https://heathceramics.com,Sausalito,United States,Owned and operated by Robin Petravic (CEO) and Catherine Bailey (Creative Director); founded by Edith & Brian Heath,Robin Petravic,CEO & Co-Owner,via contact page (heathceramics.com/pages/contact-us),"Acquired and rebuilt in 2003 by Robin Petravic (CEO) and Catherine Bailey (Creative Director); locations in Sausalito, San Francisco, Los Angeles and Austin; collaborations with Alabama Chanin, David Mellor, Herman Miller and the Chez Panisse line",Tile and dinnerware are laid out as static grids and thumbnail galleries with a 'Heath Journal' for narrative posts; the rich Edith Heath legacy and collaborative design process live in articles rather than in the commerce experience.,"Heritage scroll narrative connecting Edith Heath's Manganese clay body to present-day making, with factory-floor reels and collaborator stories","Heath's legacy - from Edith Heath's Manganese clay body to the Chez Panisse line - lives in journal articles, not the shop. We weave that story into the buying experience."
071,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Harley Street Injectables,https://www.harleystreetinjectables.com/,London,United Kingdom,Private Harley Street clinic; multi-practitioner doctor/nurse/aesthetician team,Founding Practitioner,Lead Aesthetic Doctor,via Phorest online booking widget + consultation form (harleystreetinjectables.com); +44 345 548 5658,Harley Street address (W1G 7JE); injectable treatments typically £150-400 per session; CQC-registered clinic setting,"The Squarespace build is text-dense with duplicated navigation blocks and numerous repeated sections across a long homepage. Treatment detail and pricing sit behind multiple clicks, and the consult path splits between a Phorest widget, a request-form and a phone number rather than one clear journey.","Conversion-focused clinic rebuild: unified consult path, treatment-journey storytelling, mobile-first, Core Web Vitals green","Harley Street Injectables' Squarespace site buries treatments in repeated navigation blocks and text-heavy sections; visitors should reach a consult path in one scroll, not hunt for it."
072,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Harley Street Smile Clinic,https://harleystreetsmileclinic.co.uk/,London,United Kingdom,Private family-run cosmetic dental practice; lead dentist + clinical support,Dr Maurice Johannes,Lead Cosmetic Dentist,via 'Make an Enquiry' form + click-to-call/WhatsApp (harleystreetsmileclinic.co.uk),"Patient-funded private cosmetic practice on Harley Street, where full-mouth veneer and implant work routinely reaches five-figure fees; 5-year veneer guarantee offered","The WordPress site carries a non-loading Google Maps embed ('This page can't load Google Maps correctly') and dated asset filenames in its media library. All booking routes funnel to an enquiry form or click-to-call/WhatsApp, with no instant online booking despite cosmetic work being a considered, high-value purchase.","Premium cosmetic-dentistry rebuild: trust-forward case presentation, instant online booking integration, Core Web Vitals green","Dr Johannes' Harley Street practice has a non-loading Google Maps embed and dated media files; a patient considering five-figure smile work needs confidence signals, not broken embeds."
073,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Cosmedocs Aesthetic Clinic,https://www.cosmedocs.com/,London,United Kingdom,Doctor-led Harley Street clinic; medical director + nursing/aesthetic team,Dr Ahmed Haq,Medical Director,info@cosmedocs.com / 0333 0551 503 / MeRight instant booking (med.as.me),"Harley Street (8-10 W1G 9PF) doctor-led clinic; PP Glow polynucleotide course advertised at £1,250 for 3 sessions; full filler/peel/laser menu","The Netlify-built site itemises an extensive treatment taxonomy but pushes pricing and booking several clicks deep, with only one promotional bundle visible on the surface. For a Harley Street clinic this consult-first path is serviceable but reads passive next to the premium positioning.","High-end aesthetics site rework: concise treatment taxonomy, transparent consult tiers, frictionless Harley Street booking UX",Dr Ahmed Haq's Harley Street clinic lists every treatment taxonomy but prices and booking sit clicks deep; premium patients expect a frictionless consult path on Harley Street.
074,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Luxury Aesthetics,https://luxuryaestheticclinic.com/,New Delhi (Panchsheel Park),India,Premium South Delhi skin & aesthetic clinic; dermatologist-led,Founding Dermatologist,Clinical Director,info@luxuryaestheticclinic.com / 072900 15801-03 / site contact form,"South Delhi premium clinic claiming 1,500+ customers; Botox, peels, PRP/GFC/QR678, CoolSculpting, Exilis 360 and laser menu; Panchsheel Park affluent catchment","The WordPress site (built by Digilize Media) leans on generic stock imagery, templated 'US-FDA Approved Technology' value props repeated twice, and duplicate appointment sections. The 'BOOK AN APPOINTMENT' CTA anchors to a form rather than offering a streamlined consult path for South Delhi's premium market.","Delhi premium clinic rebuild: custom design replacing template stock language, streamlined appointment flow, performance-optimised frontend",Luxury Aesthetics serves generic stock imagery and templated 'US-FDA approved' claims; a premium South Delhi clinic should look and convert like one.
075,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Dental Sanctuary,https://www.dentalsanctuary.in/,Bengaluru (Indiranagar),India,"Multi-speciality dental clinic; 5 specialist dentists + support team (4.9★, 300+ reviews)",Dr Isha S Singh,Director & Orthodontist (Clinic Head),"Call/WhatsApp booking via site (dentalsanctuary.in); 80 Feet Road, HAL 3rd Stage","Rated 4.9★ by 300+ patients; Invisalign, implants, zirconia crowns, veneers and laser dentistry in affluent Indiranagar/HAL corridor","Built on Wix, the practice presents every treatment as an icon-card in a flat grid, and booking is limited to call/WhatsApp with no online slot selection. For a 300-review clinic in Indiranagar, the Wix footprint undercuts a practice advertising implants, zirconia and Invisalign.","High-trust dental frontend on Next.js: treatment storytelling, online scheduling, mobile performance for Indiranagar searches",Dental Sanctuary runs on Wix with icon-grid treatment pages and WhatsApp-only booking; Indiranagar's implant and veneer cases deserve a higher-trust digital front door.
076,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Miss Franc,https://missfranc.com.au/,"Sydney (Double Bay, Manly)",Australia,Boutique skin & aesthetics clinic; aesthetics doctors + dermal therapists + retail arm,Founders,Clinic Directors,Book Online via Kitomba (apps.kitomba.com/bookings/missfranc) / Double Bay clinic,Boutique Double Bay and Manly clinic with celebrity client profiles (model Samara Weaving feature) and a proprietary skincare range; premium Sydney suburbs,"The Shopify storefront blends skincare retail with clinical services, so the homepage reads like a product catalogue before a clinic. Boutique aesthetics patients land on serum product tiles ('view product' / 'shop now') rather than a treatment-first journey for a Double Bay practice.","Clinic-first D2C hybrid rebuild: separate treatment journeys from retail while keeping the skincare store, premium Double Bay feel",Miss Franc mixes skincare retail with boutique aesthetics on Shopify; the commerce-template feel undercuts the Double Bay clinic's premium positioning.
077,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Hoblyn & White,https://hoblynwhite.com/,London,United Kingdom,Intimate garden design + landscape architecture partnership (two principals + contractor network),Tom Hoblyn,Co-Founder & Garden Designer,via site contact enquiry (hoblynwhite.com),"RHS Chelsea Silver-Gilt winner (Hospice UK Garden of Compassion, 2025); commissions span UK country estates and small luxury London apartments; partnership rebranded March 2026","Award-winning spatial work is presented through a Squarespace photo gallery with news/blog tiles; the craft of materials, planting succession and built gardens cannot travel through static thumbnails. Enquiry starts at a standard site form, with no project narrative to qualify country-house briefs.",Narrative garden portfolio with material/process scrolls and a structured country-house enquiry flow,"Tom Hoblyn and Jane Fitzgerald White's award-winning gardens are told through a Squarespace photo gallery; the craft of built landscapes deserves a narrative scroll, not thumbnails."
078,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Acacia Gardens,https://acacia-gardens.co.uk/,London & Hertfordshire (St Albans),United Kingdom,Director-led landscape & garden design practice; design + build teams,Herman Ermal Pobrati,Director & Landscape Architect,info@acacia-gardens.co.uk / 020 8800 3866 / 'Book a Consultation' form,"RHS Chelsea Flower Show medal-winning designer; servicing Hampstead, Highgate, Islington, St John's Wood, St Albans and Harpenden - high-value residential catchments","Projects sit behind thumbnail tiles and a 'Book a Consultation' form with no budget or scope guidance to pre-qualify enquiries. Medal-winning residential work in Hampstead and St Albans is communicated as finished photographs with captions, not a process story.",Process-led portfolio rebuild with scheme narratives and an enquiry path that qualifies budget and scope,Acacia's RHS medal-winning schemes live as image tiles behind a consultation form; high-value Hampstead and Islington briefs need process narrative before they enquire.
079,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Perry Guillot Inc.,https://perryguillotinc.com/,"Southampton, NY",United States,Solo-principal landscape architecture practice serving private and historic commissions,Perry Guillot,Principal Landscape Architect,p@guillotinc.com / 631 283 2839,"Arthur Ross Award for Landscape Architecture (Institute of Classical Art & Architecture, 2009); published author ('Privet Lives', 2004); East End commissions since 1983","The hand-coded static one-pager serves oversized hero images, long first-person text blocks and a lone email contact against a 2021 copyright footer. An Arthur Ross Award-winning practice's case depth is not discoverable beyond an image dump and a brief biography.","Editorial East End landscape portfolio: case narratives, image optimisation, refined typography matching the Arthur Ross pedigree",Perry Guillot's Arthur Ross Award pedigree sits inside a hand-coded one-pager with oversized images and a lone email link; Southampton's finest deserves digital parity.
080,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Laurel Group,https://www.thelaurelgroup.net/,"Long Island, NY (Huntington, Roslyn, Water Mill)",United States,Full-service design-build-maintenance group established 1993 across three NY locations,Mark McAteer,CEO & Founder,info@thelaurelgroup.net / 631-547-5200 / 'Schedule a Consultation' form,"Established 1993; design, pools, sport courts, pergolas and property care across the North Shore of Long Island and the Hamptons; estate-scale outdoor budgets typical","Core service and program content lives inside third-party Heyzine flip-book PDFs (process, programs, terms, tennis & sport), and the portfolio is a project-name tile grid. Estate clients on the North Shore and Hamptons must download a brochure to understand how the firm works.","Estate-landscape marketing site: integrated process pages (no flip-books), project narratives, consultation scheduler",Laurel Group keeps its proven process inside Heyzine flip-book PDFs; North Shore and Hamptons estate clients won't download a brochure to trust a builder.
081,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Stepien Lake LLP,https://www.stepienlake.co.uk/,London (West End),United Kingdom,Boutique property law firm; partners and consultants with 20-35 years' experience each,Richard Hill,Practice Director,via website contact form (stepienlake.co.uk),"West End boutique firm handling development agreements, joint ventures, options, promotion agreements, strategic land, mines & minerals and renewables for corporates, funds and landed estates","The WordPress build still references 2018-dated icon assets and carries a cookie banner with no preference controls. Complex development, JV and strategic-land work is described in text-dense paragraphs with no visual case narratives despite the firm's stated City-parity positioning.","Premium property-law digital presence: deal narratives, clear service architecture, modern fast build reflecting City-parity standards",Stepien Lake handles complex West End development deals on a WordPress build with 2018-era assets and text-dense service pages; the digital layer undersells a City-parity practice.
082,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Boston Technology Law,https://bostontechlaw.com/,"Boston, MA",United States,"Small boutique technology-law firm; founding partner + senior attorneys, former in-house/big-law",David Rickerby,Founding Partner,via contact page (bostontechlaw.com),"Boutique technology-law practice serving venture-backed SaaS providers and Fortune 100 businesses; software licensing, cloud, trademark and commercial-agreement focus",The WordPress homepage leads with a dated 'tech tree' illustration and copy claiming rates 'less than half of those charged by global firms' - price-anchoring language that attracts cost-shopping rather than judgment-led mandates.,"Premium boutique positioning rebuild: value and judgment-led messaging, cleaner information architecture, Next.js performance","Boston Technology Law undercuts itself with 'rates less than half of global firms' copy and dated tech-tree graphics; premium clients buy judgment, not price."
